"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr700","Fiocruz/COLTRYP - Coleção de Trypanosoma de Mamíferos Silvestres, Domésticos e Vetores","","Fiocruz/COLTRYP - Coleção de Trypanosoma de Mamíferos Silvestres, Domésticos e Vetores. v1.12. FIOCRUZ - Oswaldo Cruz Foundation. Dataset/Occurrence. (http://coltryp.fiocruz.br/)","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr700","","","","1"
"dr943","GBIF repatriados | American Museum of Natural History | CC BY 4.0 License","","When using this dataset please use the following citation and pay attention to the rights documented in rights.txt: Johnson C (2020). hymenoptera. Version 1.3. American Museum of Natural History. Occurrence dataset https://doi.org/10.15468/mvtuf5 accessed via GBIF.org on 2023-07-25.","other Dataset: hymenoptera  Rights as supplied: http://creativecommons.org/licenses/by/4.0/legalcode","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr943","","","","289"
"co99","Coleção Entomológica do MNRJ","","Records provided by Coleção Entomológica do MNRJ, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co99","","","","269"
"dr939","GBIF repatriados | Museum of Comparative Zoology, Harvard University","","Harvard University M, Morris P J (2023). Museum of Comparative Zoology, Harvard University. Version 162.377. Museum of Comparative Zoology, Harvard University. Occurrence dataset https://doi.org/10.15468/p5rupv accessed via GBIF.org on 2023-06-27.","other Dataset: Museum of Comparative Zoology, Harvard University  Rights as supplied: http://creativecommons.org/licenses/by-nc/4.0/legalcode","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr939","","","","2283"
"co95","Coleção de Aves do MNRJ","","Records provided by Coleção de Aves do MNRJ, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co95","","","","205"
"co96","Coleção de Crustacea do MNRJ","","Records provided by Coleção de Crustacea do MNRJ, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co96","","","","24"
"dr819","Ictiologia Collection - Instituto Nacional de Pesquisas da Amazônia (INPA)","","Records provided by Ictiologia Collection - Instituto Nacional de Pesquisas da Amazônia (INPA), accessed through ALA website.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr819","","","","1"
"co94","Coleção de Anfíbios do MNRJ","","Records provided by Coleção de Anfíbios do MNRJ, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co94","","","","933"
"co621","Herbário da Universidade Estadual do Sudoeste da Bahia","","Records provided by Herbário da Universidade Estadual do Sudoeste da Bahia, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co621","","","","38"
"dr936","Instituto de Botánica Darwinion","","When using this dataset please use the following citation and pay attention to the rights documented in rights.txt: Oliveira A (2016). Checklist of aquatic and marshy Monocotyledons from the Araguaia River basin, Brazilian Cerrado. Biodiversity Data Journal. Checklist dataset https://doi.org/10.3897/bdj.4.e7085 accessed via GBIF.org on 2023-07-04. Teisher J, Stimmel H (2023). Tropicos MO Specimen Data. Missouri Botanical Garden. Occurrence dataset https://doi.org/10.15468/hja69f accessed via GBIF.org on 2023-07-04. Teisher J, Brazilian Flora Group B F G (2023). MO herbarium -  Missouri Botanical Garden - Amostras Brasileiras Repatriadas - Herbário Virtual REFLORA. Version 1.219. Instituto de Pesquisas Jardim Botanico do Rio de Janeiro. Occurrence dataset https://doi.org/10.15468/mmbcpb accessed via GBIF.org on 2023-07-04. Instituto de Botánica Darwinion - CONICET. Instituto de Botánica Darwinion. Version 1.0. Occurrence dataset https://doi.org/10.15468/vtfbe3 accessed via GBIF.org on 2023-07-04.","other Dataset: Checklist of aquatic and marshy Monocotyledons from the Araguaia River basin, Brazilian Cerrado  Rights as supplied: http://creativecommons.org/licenses/by/4.0/legalcode Dataset: Tropicos MO Specimen Data  Rights as supplied: http://creativecommons.org/licenses/by/4.0/legalcode Dataset: MO herbarium -  Missouri Botanical Garden - Amostras Brasileiras Repatriadas - Herbário Virtual REFLORA  Rights as supplied: http://creativecommons.org/licenses/by/4.0/legalcode Dataset: Instituto de Botánica Darwinion  Rights as supplied: http://creativecommons.org/licenses/by/4.0/legalcode","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr936","","","","311"
"co410","Coleção de Mamíferos do Museu de Ciências e Tecnologia PUCRS","","Records provided by Coleção de Mamíferos do Museu de Ciências e Tecnologia PUCRS, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co410","","","","5"
"co539","Herbário Parque das Dunas","","Records provided by Herbário Parque das Dunas, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co539","","","","2"
"co536","Herbário do Vale do Taquari","","Records provided by Herbário do Vale do Taquari, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co536","","","","1264"
"dr962","GBIF repatriados | Carnegie Museums | CM Vertebrate Paleontology Collection | CC0 1.0 License","","When using this dataset please use the following citation and pay attention to the rights documented in rights.txt: Carnegie Museums (2023). Carnegie Museum of Natural History - Mollusks. Occurrence dataset https://doi.org/10.15468/4rfubm accessed via GBIF.org on 2023-06-27. Rogers S (2017). CM Herps Collection. Version 8.5. Carnegie Museums. Occurrence dataset https://doi.org/10.15468/lxe6h4 accessed via GBIF.org on 2023-06-27. Carnegie Museums (2023). Carnegie Museum of Natural History Herbarium. Occurrence dataset https://doi.org/10.15468/d51v1f accessed via GBIF.org on 2023-06-27. Rogers S (2022). CM Birds Collection. Version 9.3. Carnegie Museums. Occurrence dataset https://doi.org/10.15468/dv1ojv accessed via GBIF.org on 2023-06-27. Henrici A (2022). CM Vertebrate Paleontology Collection. Version 4.2. Carnegie Museums. Occurrence dataset https://doi.org/10.15468/hw4khc accessed via GBIF.org on 2023-06-27.","other Dataset: Carnegie Museum of Natural History - Mollusks  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: CM Herps Collection  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Carnegie Museum of Natural History Herbarium  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: CM Birds Collection  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: CM Vertebrate Paleontology Collection  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr962","","","","28"
"dr841","Rio de Janeiro Botanical Garden fluid-preserved specimens.","","Forzza R (2022): RBspirit - Rio de Janeiro Botanical Garden fluid-preserved specimens.. v1.141. Instituto de Pesquisas Jardim Botanico do Rio de Janeiro. Dataset/Occurrence. http://ipt.jbrj.gov.br/jbrj/resource?r=rbspirit&v=1.141","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr841","","","","5"
"dr605","MCP-Aves - Coleção de Aves","","Coleção de Aves do Museu de Ciências e Tecnologia da PUCRS, MCP","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr605","","","","1115"
"dr968","GBIF repatriados | Arizona State University | Hasbrouck Insect Collection | CC0 1.0 License","","When using this dataset please use the following citation and pay attention to the rights documented in rights.txt: Arizona State University Biocollections (2023). Arizona State University Lois B. O'Brien Collection. Occurrence dataset https://doi.org/10.15468/88s274 accessed via GBIF.org on 2023-07-04. Arizona State University Biocollections (2023). Arizona State University Herpetology Collection. Occurrence dataset https://doi.org/10.15468/yj2vvf accessed via GBIF.org on 2023-07-04. Arizona State University Biocollections (2023). Arizona State University Charles W. O'Brien Collection. Occurrence dataset https://doi.org/10.15468/eeqtx0 accessed via GBIF.org on 2023-07-04. Arizona State University Biocollections (2023). Arizona State University Hasbrouck Insect Collection. Occurrence dataset https://doi.org/10.15468/vv6k58 accessed via GBIF.org on 2023-07-04.","other Dataset: Arizona State University Lois B. O'Brien Collection  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Arizona State University Herpetology Collection  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Arizona State University Charles W. O'Brien Collection  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Arizona State University Hasbrouck Insect Collection  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr968","","","","28"
"dr604","Coleção de Répteis do MCP","","Coleção de Répteis do Museu de Ciências e Tecnologia da PUCRS, MCP","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr604","","","","1779"
"dr849","Herbário Nova Xavantina","","Herbário NX","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr849","","","","8"
"dr969","GBIF repatriados | Arizona State University | Vascular Plant Herbarium | CC BY 4.0 License","","When using this dataset please use the following citation and pay attention to the rights documented in rights.txt: Instituto de Botánica Darwinion - CONICET. Instituto de Botánica Darwinion. Version 1.0. Occurrence dataset https://doi.org/10.15468/vtfbe3 accessed via GBIF.org on 2023-07-04. Arizona State University Biocollections (2023). Arizona State University Vascular Plant Herbarium. Occurrence dataset https://doi.org/10.15468/a2o8vy accessed via GBIF.org on 2023-07-04.","other Dataset: Instituto de Botánica Darwinion  Rights as supplied: http://creativecommons.org/licenses/by/4.0/legalcode Dataset: Arizona State University Vascular Plant Herbarium  Rights as supplied: http://creativecommons.org/licenses/by/4.0/legalcode","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr969","","","","1129"
"dr606","MCP-Mamiferos - Coleção de Mamíferos","","Coleção de Mamíferos do Museu de Ciências e Tecnologia da PUCRS, MCP","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr606","","","","5"
"dr843","CNCFlora - Livro Vermelho 2013 - Ocorrências","","CNCFlora 2013.","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr843","","","","719"
"dr963","GBIF repatriados | Museum of Vertebrate Zoology | MVZ Egg and Nest Collection (Arctos) | CC0 1.0 License","","When using this dataset please use the following citation and pay attention to the rights documented in rights.txt: Spencer C (2023). MVZ Hildebrand Collection (Arctos). Version 36.77. Museum of Vertebrate Zoology. Metadata dataset https://doi.org/10.15468/nzdbrf accessed via GBIF.org on 2023-06-27. Cicero C (2023). MVZ Bird Collection (Arctos). Version 43.74. Museum of Vertebrate Zoology. Occurrence dataset https://doi.org/10.15468/r1woj3 accessed via GBIF.org on 2023-06-27. Spencer C (2023). MVZ Herp Collection (Arctos). Version 36.74. Museum of Vertebrate Zoology. Occurrence dataset https://doi.org/10.15468/pi1mts accessed via GBIF.org on 2023-06-27. Conroy C (2023). MVZ Mammal Collection (Arctos). Version 35.75. Museum of Vertebrate Zoology. Occurrence dataset https://doi.org/10.15468/uwudf9 accessed via GBIF.org on 2023-06-27. Cicero C (2023). MVZ Egg and Nest Collection (Arctos). Version 37.77. Museum of Vertebrate Zoology. Metadata dataset https://doi.org/10.15468/a7zswp accessed via GBIF.org on 2023-06-27.","other Dataset: MVZ Hildebrand Collection (Arctos)  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: MVZ Bird Collection (Arctos)  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: MVZ Herp Collection (Arctos)  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: MVZ Mammal Collection (Arctos)  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: MVZ Egg and Nest Collection (Arctos)  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr963","","","","4"
"dr603","MCP-Anfibios - Coleção de Anfíbios","","Coleção de Anfíbios do Museu de Ciências e Tecnologia da PUCRS, MCP","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr603","","","","1530"
"dr966","GBIF repatriados | Yale University Peabody Museum | Botany Division | CC0 1.0 License","","When using this dataset please use the following citation and pay attention to the rights documented in rights.txt: Gall L (2023). Vertebrate Zoology Division - Mammalogy, Yale Peabody Museum. Yale University Peabody Museum. Occurrence dataset https://doi.org/10.15468/4mm6uc accessed via GBIF.org on 2023-06-27. Gall L (2023). Entomology Division, Yale Peabody Museum. Yale University Peabody Museum. Occurrence dataset https://doi.org/10.15468/95waq3 accessed via GBIF.org on 2023-06-27. Gall L (2023). Vertebrate Zoology Division - Ornithology, Yale Peabody Museum. Yale University Peabody Museum. Occurrence dataset https://doi.org/10.15468/h25uz7 accessed via GBIF.org on 2023-06-27. Gall L (2023). Vertebrate Paleontology Division, Yale Peabody Museum. Yale University Peabody Museum. Occurrence dataset https://doi.org/10.15468/ym5axs accessed via GBIF.org on 2023-06-27. Gall L (2023). Paleobotany Division, Yale Peabody Museum. Yale University Peabody Museum. Occurrence dataset https://doi.org/10.15468/hpasyo accessed via GBIF.org on 2023-06-27. Gall L (2023). Invertebrate Paleontology Division, Yale Peabody Museum. Yale University Peabody Museum. Occurrence dataset https://doi.org/10.15468/nqheui accessed via GBIF.org on 2023-06-27. Gall L (2023). Invertebrate Zoology Division, Yale Peabody Museum. Yale University Peabody Museum. Occurrence dataset https://doi.org/10.15468/0lkr3w accessed via GBIF.org on 2023-06-27. Gall L (2023). Vertebrate Zoology Division - Herpetology, Yale Peabody Museum. Yale University Peabody Museum. Occurrence dataset https://doi.org/10.15468/ypdvp9 accessed via GBIF.org on 2023-06-27. Gall L (2023). Vertebrate Zoology Division - Ichthyology, Yale Peabody Museum. Yale University Peabody Museum. Occurrence dataset https://doi.org/10.15468/mgyhok accessed via GBIF.org on 2023-06-27. Gall L (2023). Botany Division, Yale Peabody Museum. Yale University Peabody Museum. Occurrence dataset https://doi.org/10.15468/hrztgn accessed via GBIF.org on 2023-06-27.","other Dataset: Vertebrate Zoology Division - Mammalogy, Yale Peabody Museum  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Entomology Division, Yale Peabody Museum  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Vertebrate Zoology Division - Ornithology, Yale Peabody Museum  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Vertebrate Paleontology Division, Yale Peabody Museum  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Paleobotany Division, Yale Peabody Museum  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Invertebrate Paleontology Division, Yale Peabody Museum  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Invertebrate Zoology Division, Yale Peabody Museum  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Vertebrate Zoology Division - Herpetology, Yale Peabody Museum  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Vertebrate Zoology Division - Ichthyology, Yale Peabody Museum  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode Dataset: Botany Division, Yale Peabody Museum  Rights as supplied: http://creativecommons.org/publicdomain/zero/1.0/legalcode","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr966","","","","480"
"dr965","GBIF repatriados | Duke University Herbarium Bryophyte Collection | CC BY-NC 4.0 License","","Duke University Herbarium (2023). Duke University Herbarium Lichen Collection. Occurrence dataset https://doi.org/10.15468/mwbxa9 accessed via GBIF.org on 2023-07-04.","other Dataset: Duke University Herbarium Lichen Collection  Rights as supplied: http://creativecommons.org/licenses/by-nc/4.0/legalcode Dataset: Duke University Herbarium Bryophyte Collection  Rights as supplied: http://creativecommons.org/licenses/by-nc/4.0/legalcode","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr965","","","","5"
"dr839","Rio de Janeiro Botanical Garden Herbarium Collection","","JBRJ - Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Jabot - Banco de Dados da Flora Brasileira. Disponível em: [http://www.jbrj.gov.br/jabot].","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr839","","","","9221"
"co407","Coleção de Anfíbios do Museu de Ciências e Tecnologia PUCRS","","Records provided by Coleção de Anfíbios do Museu de Ciências e Tecnologia PUCRS, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co407","","","","1530"
"co525","Coleção Ictiólogica do Nupélia","","Records provided by Coleção Ictiólogica do Nupélia, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co525","","","","3486"
"dr951","GBIF repatriados | Naturalis Biodiversity Center Holland | Xeno-canto | Observation.org | CC BY-NC 4.0 License","","When using this dataset please use the following citation and pay attention to the rights documented in rights.txt: de Vries H, Lemmens M (2023). Observation.org, Nature data from around the World. Observation.org. Occurrence dataset https://doi.org/10.15468/5nilie accessed via GBIF.org on 2023-07-04. Vellinga W (2023). Xeno-canto - Soundscapes from around the world. Xeno-canto Foundation for Nature Sounds. Occurrence dataset https://doi.org/10.15468/9u3zaq accessed via GBIF.org on 2023-07-04. Vellinga W (2023). Xeno-canto - Bird sounds from around the world. Xeno-canto Foundation for Nature Sounds. Occurrence dataset https://doi.org/10.15468/qv0ksn accessed via GBIF.org on 2023-07-04.","other Dataset: Observation.org, Nature data from around the World  Rights as supplied: http://creativecommons.org/licenses/by-nc/4.0/legalcode Dataset: Xeno-canto - Soundscapes from around the world  Rights as supplied: http://creativecommons.org/licenses/by-nc/4.0/legalcode Dataset: Xeno-canto - Bird sounds from around the world  Rights as supplied: http://creativecommons.org/licenses/by-nc/4.0/legalcode","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr951","","","","2093"
"dr950","GBIF repatriados | Florida Museum of Natural History | CC BY - NC 4.0 License","","When using this dataset please use the following citation and pay attention to the rights documented in rights.txt: Franck A R (2023). University of Florida Herbarium (FLAS). Version 11.2050. Florida Museum of Natural History. Occurrence dataset https://doi.org/10.15468/v5wjn7 accessed via GBIF.org on 2023-06-27. Blackburn D, Brown W (2023). University of Florida Herpetology. Florida Museum of Natural History. Occurrence dataset https://doi.org/10.15468/vw3dvj accessed via GBIF.org on 2023-06-27. Manchester S, Brown W (2023). UF Florida Museum Paleobotany. Version 1.315. Florida Museum of Natural History. Occurrence dataset https://doi.org/10.15468/asfurx accessed via GBIF.org on 2023-06-27. Robins R (2023). UF FLMNH Ichthyology. Version 117.399. Florida Museum of Natural History. Occurrence dataset https://doi.org/10.15468/8mjsel accessed via GBIF.org on 2023-06-27. Hulbert R, FLMNH O (2023). University of Florida Vertebrate Paleontology. Version 1.97. Florida Museum of Natural History. Occurrence dataset https://doi.org/10.15468/nelacx accessed via GBIF.org on 2023-06-27. Florida Museum of Natural History: UF Invertebrate Zoology https://doi.org/10.15468/sm6qo6 accessed via GBIF.org on 2023-06-27. Florida Museum of Natural History (2023). University of Florida Herbarium - Bryophytes. Occurrence dataset https://doi.org/10.15468/cuvh8t accessed via GBIF.org on 2023-06-27. Steadman D, Brown W (2023). UF Florida Museum of Natural History Ornithology. Version 1.225. Florida Museum of Natural History. Occurrence dataset https://doi.org/10.15468/4d8rth accessed via GBIF.org on 2023-06-27. Reed D, Mathis V, Paine W (2023). UF Florida Museum of Natural History Mammals. Florida Museum of Natural History. Occurrence dataset https://doi.org/10.15468/kccunf accessed via GBIF.org on 2023-06-27.","other Dataset: University of Florida Herbarium (FLAS)  Rights as supplied: http://creativecommons.org/licenses/by-nc/4.0/legalcode Dataset: University of Florida Herpetology  Rights as supplied: http://creativecommons.org/licenses/by-nc/4.0/legalcode Dataset: UF Florida Museum Paleobotany  Rights as supplied: http://creativecommons.org/licenses/by-nc/4.0/legalcode Dataset: UF FLMNH Ichthyology  Rights as supplied: http://creativecommons.org/licenses/by-nc/4.0/legalcode Dataset: University of Florida Vertebrate Paleontology  Rights as supplied: http://creativecommons.org/licenses/by-nc/4.0/legalcode Dataset: UF Invertebrate Zoology  Rights as supplied: http://creativecommons.org/licenses/by-nc/4.0/legalcode Dataset: University of Florida Herbarium - Bryophytes  Rights as supplied: http://creativecommons.org/licenses/by-nc/4.0/legalcode Dataset: UF Florida Museum of Natural History Ornithology  Rights as supplied: http://creativecommons.org/licenses/by-nc/4.0/legalcode Dataset: UF Florida Museum of Natural History Mammals  Rights as supplied: http://creativecommons.org/licenses/by-nc/4.0/legalcode","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr950","","","","2"
"co408","Coleção de Répteis do Museu de Ciências e Tecnologia PUCRS","","Records provided by Coleção de Répteis do Museu de Ciências e Tecnologia PUCRS, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co408","","","","1779"
"co409","Coleção de Aves do Museu de Ciências e Tecnologia PUCRS","","Records provided by Coleção de Aves do Museu de Ciências e Tecnologia PUCRS, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co409","","","","1115"
"dr956","GBIF repatriados | Meise Botanic Garden Herbarium (BR) | CC BY 4.0 License","","When using this dataset please use the following citation and pay attention to the rights documented in rights.txt: Meise Botanic Garden (2023). Meise Botanic Garden Herbarium (BR). Version 1.29. Meise Botanic Garden. Occurrence dataset https://doi.org/10.15468/wrthhx accessed via GBIF.org on 2023-07-26.","other Dataset: Meise Botanic Garden Herbarium (BR)  Rights as supplied: http://creativecommons.org/licenses/by/4.0/legalcode","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr956","","","","52"
"dr959","GBIF repatriados | Illinois Natural History Survey Insect Collection |  CC BY 4.0 License","","When using this dataset please use the following citation and pay attention to the rights documented in rights.txt: McElrath T (2023). Illinois Natural History Survey Insect Collection. Illinois Natural History Survey. Occurrence dataset https://doi.org/10.15468/eol0pe accessed via GBIF.org on 2023-07-04.","other Dataset: Illinois Natural History Survey Insect Collection  Rights as supplied: http://creativecommons.org/licenses/by/4.0/legalcode","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr959","","","","709"
"dr838","Caatinga Biome - RB - Rio de Janeiro Botanical Garden Herbarium Collection","","Records provided by Caatinga Biome - RB - Rio de Janeiro Botanical Garden Herbarium Collection, accessed through ALA website.","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr838","","","","23"
"dr837","Rio de Janeiro Botanical Garden DNA Collection - GGBN extensions","","JBRJ - Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Jabot - Banco de Dados da Flora Brasileira. Disponível em: [http://www.jbrj.gov.br/jabot].","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr837","","","","1"
"dr953","GBIF repatriados | Centro Internacional de Agricultura Tropical - CIAT | CC BY 4.0 License","","When using this dataset please use the following citation and pay attention to the rights documented in rights.txt: Crop Wild Relatives Occurrence data consortia (2018). A global database for the distributions of crop wild relatives. Version 1.12. Centro Internacional de Agricultura Tropical - CIAT. Occurrence dataset https://doi.org/10.15468/jyrthk accessed via GBIF.org on 2023-07-25.","other Dataset: A global database for the distributions of crop wild relatives  Rights as supplied: http://creativecommons.org/licenses/by/4.0/legalcode","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr953","","","","2151"
